"Date","Price","Open","High","Low","Vol.","Change %"
"06/16/2025","6.06","5.92","6.12","5.92","23.16K","2.36%"
"06/13/2025","5.92","6.00","6.00","5.80","6.67K","2.78%"
"06/11/2025","5.76","5.68","5.78","5.60","11.88K","2.86%"
"06/10/2025","5.60","5.54","5.60","5.52","7.31K","0.00%"
"06/09/2025","5.60","5.64","5.64","5.52","17.93K","1.82%"
"06/06/2025","5.50","5.50","5.50","5.50","29.81K","0.00%"
"06/05/2025","5.50","5.56","5.56","5.50","39.83K","-1.08%"
"06/04/2025","5.56","5.68","5.68","5.54","45.08K","0.72%"
"06/03/2025","5.52","5.56","5.56","5.52","11.77K","-1.08%"
"06/02/2025","5.58","5.58","5.58","5.58","0.19K","-1.41%"
"05/30/2025","5.66","5.58","5.66","5.54","8.83K","2.54%"
"05/29/2025","5.52","5.74","5.74","5.50","16.46K","-4.83%"
"05/28/2025","5.80","5.88","5.88","5.80","5.61K","-1.02%"
"05/27/2025","5.86","5.84","5.86","5.84","0.06K","-0.34%"
"05/23/2025","5.88","5.96","5.96","5.84","3.59K","-1.34%"
"05/22/2025","5.96","5.96","5.96","5.96","0.54K","-0.67%"
"05/21/2025","6.00","6.00","6.02","5.94","4.38K","0.33%"
"05/20/2025","5.98","5.92","5.98","5.92","6.47K","1.01%"
"05/19/2025","5.92","5.92","5.92","5.92","0.09K","-0.67%"
"05/16/2025","5.96","5.94","6.00","5.92","24.59K","0.00%"
"05/15/2025","5.96","5.96","5.96","5.96","0.24K","-0.67%"
"05/14/2025","6.00","6.00","6.00","6.00","0.66K","-0.66%"
"05/13/2025","6.04","5.98","6.12","5.98","10.61K","3.42%"
"05/12/2025","5.84","5.84","5.84","5.84","0.28K","1.04%"
"05/09/2025","5.78","5.78","5.78","5.78","","0.00%"
"05/08/2025","5.78","5.86","5.86","5.78","5.70K","0.00%"
"05/07/2025","5.78","5.78","5.78","5.78","","0.00%"
"05/06/2025","5.78","5.72","5.92","5.72","25.12K","-1.03%"
"05/02/2025","5.84","5.76","5.84","5.70","11.29K","5.42%"
"05/01/2025","5.54","5.54","5.54","5.54","0.08K","-1.07%"
"04/30/2025","5.60","5.60","5.74","5.60","15.99K","0.00%"
"04/29/2025","5.60","5.60","5.60","5.60","3.49K","0.00%"
"04/28/2025","5.60","5.60","5.60","5.60","0.44K","0.00%"
"04/25/2025","5.60","5.76","5.76","5.56","6.44K","0.00%"
"04/24/2025","5.60","5.58","5.60","5.58","0.57K","-1.06%"
"04/23/2025","5.66","5.70","5.70","5.62","38.25K","1.07%"
"04/22/2025","5.60","5.68","5.68","5.40","23.02K","0.00%"
"04/17/2025","5.60","5.70","5.70","5.60","6.75K","-2.44%"
"04/16/2025","5.74","5.76","5.76","5.74","19.19K","-1.03%"
"04/15/2025","5.80","5.74","5.88","5.74","2.35K","1.05%"
"04/14/2025","5.74","5.72","5.74","5.72","17.63K","0.00%"
"04/11/2025","5.74","5.74","5.74","5.74","0.04K","2.50%"
"04/10/2025","5.60","5.64","5.70","5.58","35.78K","0.00%"
"04/09/2025","5.60","5.60","5.60","5.60","0.03K","-0.36%"
"04/08/2025","5.62","5.72","5.84","5.62","2.72K","0.00%"
"04/07/2025","5.62","5.86","5.86","5.62","2.44K","-4.10%"
"04/04/2025","5.86","5.94","5.94","5.86","6.56K","-1.01%"
"04/03/2025","5.92","6.02","6.02","5.92","5.53K","-1.33%"
"04/02/2025","6.00","6.00","6.00","6.00","","0.00%"
"04/01/2025","6.00","6.00","6.00","6.00","","0.00%"
"03/31/2025","6.00","6.05","6.05","6.00","5.37K","-1.64%"
"03/28/2025","6.10","6.35","6.35","6.06","12.73K","-1.61%"
"03/27/2025","6.20","6.20","6.20","6.20","0.00K","0.00%"
"03/26/2025","6.20","6.20","6.20","6.20","0.50K","-2.97%"
"03/25/2025","6.39","6.39","6.39","6.39","0.10K","1.75%"
"03/24/2025","6.28","6.28","6.28","6.28","","0.00%"
"03/21/2025","6.28","6.19","6.28","6.19","0.70K","0.64%"
"03/20/2025","6.24","6.24","6.25","6.24","1.89K","-0.79%"
"03/19/2025","6.29","6.44","6.44","6.25","3.75K","-1.41%"
"03/18/2025","6.38","6.38","6.38","6.38","0.18K","0.00%"
"03/17/2025","6.38","6.39","6.39","6.30","5.10K","1.92%"
"03/14/2025","6.26","6.08","6.44","6.01","49.33K","3.13%"
"03/13/2025","6.07","6.04","6.07","5.98","15.87K","0.83%"
"03/12/2025","6.02","6.07","6.07","6.02","0.89K","1.18%"
"03/11/2025","5.95","6.04","6.05","5.95","4.87K","0.85%"
"03/10/2025","5.90","5.90","5.90","5.90","","0.00%"
"03/07/2025","5.90","5.95","5.95","5.90","0.94K","-0.84%"
"03/06/2025","5.95","6.14","6.14","5.95","1.45K","0.85%"
"03/05/2025","5.90","5.99","5.99","5.90","3.70K","-0.84%"
